TWA\TWS;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.12;0.18;0.24;0.19;0.21;0.21;0.27;0.31;0.48;0.53;0.57;0.61;0.66;0.71;0.78;0.8;0.78;0.68;0.55;0.8;0.81;0.72;0.71;0.56;0.55;0.61;0.63;0.66;0.67;0.53;0.33
16;0;0.51;0.76;0.99;0.88;1;0.98;1.08;1.11;1.66;1.84;1.99;2.14;2.31;2.48;2.73;2.79;2.74;2.43;2;2.79;2.84;2.56;2.52;2.04;2.01;2.19;2.27;2.36;2.4;1.41;1.18
24;0;0.85;1.28;1.67;1.86;2.1;2.07;2.36;2.5;3.24;3.59;3.89;4.17;4.5;4.83;5.29;5.4;5.34;4.84;4.08;5.45;5.55;5.09;5.01;4.18;4.11;4.44;4.59;4.78;4.81;2.99;2.36
32;0;1.18;1.77;2.31;2.79;3.15;3.1;3.57;3.9;4.88;5.42;5.86;6.28;6.78;7.28;7.88;7.97;8.04;7.5;6.54;8.2;8.35;7.9;7.78;6.75;6.64;7.09;7.33;7.57;7.51;4.86;3.69
40;0;1.67;2.4;3.06;3.63;4.1;4.03;4.68;5.28;6.16;6.83;7.39;7.92;8.54;9.18;9.68;9.89;10.14;9.91;9.14;10.33;10.53;10.44;10.29;9.5;9.35;9.82;10.15;10.37;10.07;6.86;4.94
41;0;1.73;2.47;3.13;3.71;4.17;4.18;4.8;5.44;6.26;6.94;7.51;8.06;8.69;9.33;9.87;10.09;10.3;10.17;9.46;10.51;10.71;10.71;10.55;9.83;9.68;10.15;10.48;10.7;10.34;7.2;5.08
44;0;1.91;2.66;3.31;3.84;4.37;4.65;5.28;5.86;6.63;7.26;7.82;8.39;9.06;9.73;10.29;10.55;10.75;10.81;10.37;10.97;11.17;11.39;11.21;10.84;10.67;11.07;11.44;11.61;11.08;7.98;5.44
45;0;1.96;2.74;3.35;3.89;4.44;4.8;5.44;6.03;6.75;7.34;7.95;8.53;9.17;9.88;10.45;10.66;10.87;10.95;10.66;11.14;11.34;11.54;11.41;11.16;10.98;11.36;11.73;11.89;11.26;8.19;5.53
46;0;2.02;2.78;3.4;3.94;4.51;4.95;5.59;6.21;6.87;7.42;8.04;8.63;9.28;10.05;10.64;10.84;11;11.11;10.94;11.33;11.52;11.71;11.58;11.48;11.29;11.63;12.02;12.15;11.45;8.36;5.61
47;0;2.07;2.82;3.43;3.98;4.6;5.1;5.74;6.37;6.98;7.55;8.14;8.72;9.39;10.18;10.75;10.95;11.12;11.26;11.21;11.48;11.67;11.87;11.77;11.78;11.59;11.9;12.28;12.38;11.55;8.51;5.68
48;0;2.12;2.84;3.48;4.02;4.68;5.25;5.89;6.53;7.09;7.64;8.23;8.83;9.49;10.32;10.86;11.07;11.25;11.4;11.47;11.62;11.82;12.01;11.98;12.08;11.88;12.26;12.54;12.57;11.66;8.67;5.73
49;0;2.17;2.86;3.51;4.06;4.77;5.39;6.02;6.68;7.22;7.75;8.32;8.92;9.58;10.44;10.98;11.19;11.37;11.52;11.71;11.77;11.97;12.15;12.2;12.36;12.16;12.49;12.74;12.7;11.76;8.86;5.77
50;0;2.21;2.89;3.55;4.1;4.87;5.53;6.13;6.83;7.34;7.88;8.41;9.01;9.68;10.56;11.09;11.3;11.49;11.65;11.86;11.92;12.12;12.29;12.37;12.5;12.3;12.69;12.96;12.82;11.94;9;5.86
51;0;2.24;2.9;3.59;4.13;4.94;5.67;6.24;6.92;7.43;7.98;8.53;9.13;9.79;10.68;11.24;11.47;11.59;11.83;12.06;12.08;12.28;12.46;12.56;12.75;12.5;12.87;13.22;12.96;12.07;9.11;5.92
53;0;2.3;2.94;3.66;4.21;5.06;5.79;6.3;7.03;7.58;8.14;8.67;9.3;9.99;10.93;11.45;11.66;11.86;12.07;12.26;12.39;12.58;12.74;12.88;13.04;12.85;13.19;13.51;13.25;12.26;9.27;6.03
54;0;2.34;2.95;3.7;4.25;5.12;5.83;6.37;7.06;7.65;8.18;8.76;9.4;10.09;11.06;11.57;11.8;12.01;12.21;12.42;12.56;12.75;12.9;13.06;13.23;13.05;13.38;13.72;13.45;12.37;9.41;6.07
55;0;2.36;2.97;3.74;4.29;5.18;5.87;6.43;7.12;7.74;8.26;8.86;9.5;10.2;11.19;11.71;11.94;12.15;12.37;12.58;12.74;12.93;13.08;13.26;13.43;13.26;13.58;13.93;13.59;12.54;9.56;6.16
60;0;2.45;3.1;3.88;4.48;5.36;6.09;6.72;7.48;8.1;8.74;9.44;10.15;10.94;11.93;12.6;12.88;13.18;13.44;13.67;13.9;14.12;14.31;14.51;14.72;14.68;14.98;15.25;14.8;13.62;10.3;6.57
