TWA\TWS;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.33;0.44;0.52;0.37;0.38;0.35;0.43;0.45;0.66;0.69;0.7;0.71;0.73;0.75;0.79;0.78;0.73;0.61;0.47;0.63;0.59;0.47;0.41;0.29;0.24;0.23;0.19;0.05;0;0;0
16;0;1.36;1.82;2.15;1.75;1.82;1.65;1.7;1.63;2.3;2.4;2.46;2.51;2.57;2.63;2.77;2.73;2.58;2.2;1.73;2.31;2.22;1.86;1.68;1.22;1.07;1.02;0.9;0.31;0.04;0.01;0
24;0;2.29;3.07;3.63;3.7;3.84;3.5;3.71;3.69;4.49;4.69;4.8;4.89;5.01;5.13;5.37;5.28;5.03;4.37;3.54;4.52;4.4;3.85;3.57;2.75;2.47;2.4;2.19;0.91;0.17;0.04;0
32;0;3.18;4.25;5.03;5.55;5.76;5.25;5.62;5.75;6.76;7.07;7.23;7.36;7.55;7.73;8;7.8;7.57;6.78;5.67;6.81;6.63;5.98;5.6;4.61;4.25;4.2;3.94;1.92;0.46;0.1;0
40;0;4.48;5.76;6.65;7.21;7.49;6.82;7.37;7.78;8.53;8.91;9.12;9.28;9.52;9.75;9.83;9.67;9.54;8.96;7.93;8.58;8.36;7.9;7.41;6.49;6.04;5.98;5.77;3.22;0.92;0.22;0
41;0;4.64;5.93;6.82;7.36;7.62;7.08;7.56;8.01;8.67;9.06;9.27;9.44;9.68;9.91;10.02;9.87;9.7;9.19;8.2;8.73;8.5;8.1;7.59;6.71;6.26;6.18;5.98;3.39;0.99;0.24;0
44;0;5.12;6.4;7.19;7.63;7.98;7.86;8.32;8.64;9.18;9.47;9.66;9.83;10.1;10.34;10.45;10.32;10.12;9.77;9;9.11;8.87;8.62;8.07;7.4;6.89;6.74;6.54;3.88;1.19;0.3;0
45;0;5.27;6.58;7.29;7.73;8.11;8.12;8.57;8.89;9.35;9.58;9.81;9.99;10.22;10.5;10.61;10.43;10.24;9.91;9.25;9.25;9;8.74;8.21;7.62;7.1;6.92;6.71;4.04;1.26;0.32;0
46;0;5.42;6.69;7.39;7.82;8.25;8.38;8.81;9.15;9.51;9.69;9.93;10.11;10.34;10.68;10.8;10.6;10.36;10.05;9.49;9.41;9.15;8.86;8.34;7.84;7.29;7.09;6.88;4.2;1.32;0.33;0
47;0;5.56;6.77;7.47;7.9;8.4;8.63;9.05;9.39;9.66;9.86;10.05;10.22;10.46;10.82;10.91;10.72;10.47;10.18;9.72;9.53;9.26;8.98;8.47;8.05;7.49;7.25;7.03;4.34;1.38;0.35;0
48;0;5.7;6.83;7.56;7.98;8.55;8.88;9.28;9.62;9.81;9.97;10.16;10.34;10.57;10.96;11.03;10.83;10.59;10.31;9.95;9.65;9.38;9.09;8.62;8.25;7.67;7.47;7.18;4.46;1.44;0.37;0
49;0;5.83;6.88;7.64;8.06;8.72;9.12;9.49;9.85;9.99;10.12;10.27;10.45;10.68;11.09;11.15;10.95;10.7;10.42;10.16;9.78;9.5;9.2;8.79;8.44;7.86;7.61;7.29;4.56;1.5;0.39;0
50;0;5.95;6.95;7.72;8.14;8.9;9.36;9.66;10.06;10.16;10.29;10.38;10.56;10.79;11.22;11.26;11.05;10.81;10.54;10.29;9.9;9.62;9.3;8.91;8.54;7.95;7.73;7.42;4.66;1.57;0.41;0
51;0;6.03;6.98;7.82;8.21;9.02;9.6;9.83;10.2;10.29;10.41;10.53;10.7;10.91;11.35;11.41;11.22;10.91;10.7;10.46;10.03;9.75;9.43;9.04;8.71;8.08;7.84;7.56;4.76;1.64;0.43;0
53;0;6.19;7.06;7.97;8.37;9.25;9.79;9.93;10.36;10.49;10.63;10.71;10.89;11.13;11.61;11.62;11.41;11.16;10.91;10.64;10.29;9.98;9.64;9.27;8.91;8.3;8.03;7.73;4.96;1.76;0.46;0
54;0;6.28;7.1;8.06;8.44;9.36;9.87;10.03;10.4;10.59;10.68;10.82;11.01;11.24;11.75;11.75;11.54;11.3;11.05;10.78;10.43;10.12;9.77;9.4;9.03;8.43;8.15;7.85;5.07;1.82;0.48;0
55;0;6.35;7.15;8.13;8.52;9.46;9.94;10.13;10.5;10.71;10.78;10.94;11.13;11.37;11.89;11.89;11.68;11.44;11.19;10.91;10.58;10.27;9.9;9.54;9.17;8.57;8.27;7.97;5.16;1.9;0.5;0
60;0;6.59;7.46;8.44;8.9;9.79;10.31;10.59;11.02;11.22;11.41;11.66;11.89;12.19;12.68;12.79;12.6;12.41;12.15;11.86;11.54;11.21;10.83;10.44;10.05;9.48;9.13;8.73;5.73;2.3;0.6;0
70;0;6.9;7.88;8.84;9.42;10.2;10.78;11.24;11.77;11.94;12.36;12.77;13.09;13.49;13.93;14.25;14.26;14.26;14.07;13.77;13.47;13.1;12.69;12.25;11.81;11.32;10.83;10.23;6.67;3.06;0.79;0
