TWA\TWS;0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;35;40;60;70
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0.33;0.44;0.52;0.37;0.38;0.35;0.43;0.45;0.66;0.69;0.7;0.71;0.73;0.75;0.79;0.8;0.78;0.68;0.55;0.8;0.81;0.72;0.71;0.56;0.55;0.61;0.63;0.66;0.67;0.53;0.33
16;0;1.36;1.82;2.15;1.75;1.82;1.65;1.7;1.63;2.3;2.4;2.46;2.51;2.57;2.63;2.77;2.79;2.74;2.43;2;2.79;2.84;2.56;2.52;2.04;2.01;2.19;2.27;2.36;2.4;1.41;1.18
24;0;2.29;3.07;3.63;3.7;3.84;3.5;3.71;3.69;4.49;4.69;4.8;4.89;5.01;5.13;5.37;5.4;5.34;4.84;4.08;5.45;5.55;5.09;5.01;4.18;4.11;4.44;4.59;4.78;4.81;2.99;2.36
32;0;3.18;4.25;5.03;5.55;5.76;5.25;5.62;5.75;6.76;7.07;7.23;7.36;7.55;7.73;8;7.97;8.04;7.5;6.54;8.2;8.35;7.9;7.78;6.75;6.64;7.09;7.33;7.57;7.51;4.86;3.69
40;0;4.48;5.76;6.65;7.21;7.49;6.82;7.37;7.78;8.53;8.91;9.12;9.28;9.52;9.75;9.83;9.89;10.14;9.91;9.14;10.33;10.53;10.44;10.29;9.5;9.35;9.82;10.15;10.37;10.07;6.86;4.94
41;0;4.64;5.93;6.82;7.36;7.62;7.08;7.56;8.01;8.67;9.06;9.27;9.44;9.68;9.91;10.02;10.09;10.3;10.17;9.46;10.51;10.71;10.71;10.55;9.83;9.68;10.15;10.48;10.7;10.34;7.2;5.08
44;0;5.12;6.4;7.19;7.63;7.98;7.86;8.32;8.64;9.18;9.47;9.66;9.83;10.1;10.34;10.45;10.55;10.75;10.81;10.37;10.97;11.17;11.39;11.21;10.84;10.67;11.07;11.44;11.61;11.08;7.98;5.44
45;0;5.27;6.58;7.29;7.73;8.11;8.12;8.57;8.89;9.35;9.58;9.81;9.99;10.22;10.5;10.61;10.66;10.87;10.95;10.66;11.14;11.34;11.54;11.41;11.16;10.98;11.36;11.73;11.89;11.26;8.19;5.53
46;0;5.42;6.69;7.39;7.82;8.25;8.38;8.81;9.15;9.51;9.69;9.93;10.11;10.34;10.68;10.8;10.84;11;11.11;10.94;11.33;11.52;11.71;11.58;11.48;11.29;11.63;12.02;12.15;11.45;8.36;5.61
47;0;5.56;6.77;7.47;7.9;8.4;8.63;9.05;9.39;9.66;9.86;10.05;10.22;10.46;10.82;10.91;10.95;11.12;11.26;11.21;11.48;11.67;11.87;11.77;11.78;11.59;11.9;12.28;12.38;11.55;8.51;5.68
48;0;5.7;6.83;7.56;7.98;8.55;8.88;9.28;9.62;9.81;9.97;10.16;10.34;10.57;10.96;11.03;11.07;11.25;11.4;11.47;11.62;11.82;12.01;11.98;12.08;11.88;12.26;12.54;12.57;11.66;8.67;5.73
49;0;5.83;6.88;7.64;8.06;8.72;9.12;9.49;9.85;9.99;10.12;10.27;10.45;10.68;11.09;11.15;11.19;11.37;11.52;11.71;11.77;11.97;12.15;12.2;12.36;12.16;12.49;12.74;12.7;11.76;8.86;5.77
50;0;5.95;6.95;7.72;8.14;8.9;9.36;9.66;10.06;10.16;10.29;10.38;10.56;10.79;11.22;11.26;11.3;11.49;11.65;11.86;11.92;12.12;12.29;12.37;12.5;12.3;12.69;12.96;12.82;11.94;9;5.86
51;0;6.03;6.98;7.82;8.21;9.02;9.6;9.83;10.2;10.29;10.41;10.53;10.7;10.91;11.35;11.41;11.47;11.59;11.83;12.06;12.08;12.28;12.46;12.56;12.75;12.5;12.87;13.22;12.96;12.07;9.11;5.92
53;0;6.19;7.06;7.97;8.37;9.25;9.79;9.93;10.36;10.49;10.63;10.71;10.89;11.13;11.61;11.62;11.66;11.86;12.07;12.26;12.39;12.58;12.74;12.88;13.04;12.85;13.19;13.51;13.25;12.26;9.27;6.03
54;0;6.28;7.1;8.06;8.44;9.36;9.87;10.03;10.4;10.59;10.68;10.82;11.01;11.24;11.75;11.75;11.8;12.01;12.21;12.42;12.56;12.75;12.9;13.06;13.23;13.05;13.38;13.72;13.45;12.37;9.41;6.07
55;0;6.35;7.15;8.13;8.52;9.46;9.94;10.13;10.5;10.71;10.78;10.94;11.13;11.37;11.89;11.89;11.94;12.15;12.37;12.58;12.74;12.93;13.08;13.26;13.43;13.26;13.58;13.93;13.59;12.54;9.56;6.16
60;0;6.59;7.46;8.44;8.9;9.79;10.31;10.59;11.02;11.22;11.41;11.66;11.89;12.19;12.68;12.79;12.88;13.18;13.44;13.67;13.9;14.12;14.31;14.51;14.72;14.68;14.98;15.25;14.8;13.62;10.3;6.57
